year,season,fishery,area,index
1972,1,32,1,26291.19811
1972,2,32,1,66993.9677299998
1972,3,32,1,55265.24354
1972,4,32,1,15869.34174
1973,1,32,1,27099.27269
1973,2,32,1,81940.6939899999
1973,3,32,1,64040.2358400001
1973,4,32,1,43284.8287499999
1974,1,32,1,24829.50208
1974,2,32,1,85280.4751800002
1974,3,32,1,71131.62112
1974,4,32,1,11820.29415
1975,1,32,1,13163.07694
1975,2,32,1,65380.1964699998
1975,3,32,1,40228.76843
1975,4,32,1,14554.53634
1976,1,32,1,20860.97786
1976,2,32,1,68117.6053000001
1976,3,32,1,51807.58963
1976,4,32,1,26067.10044
1977,1,32,1,44619.9932800001
1977,2,32,1,76438.86099
1977,3,32,1,24322.17451
1977,4,32,1,29062.85142
1978,1,32,1,32539.44648
1978,2,32,1,105431.6772
1978,3,32,1,38206.8383099999
1978,4,32,1,9516.69396300001
1979,1,32,1,45732.0242600001
1979,2,32,1,53326.8903099999
1979,3,32,1,33546.57039
1979,4,32,1,20460.3264
1980,1,32,1,27456.8954
1980,2,32,1,82880.2869700002
1980,3,32,1,41394.3299000001
1980,4,32,1,14193.69203
1981,1,32,1,18309.03245
1981,2,32,1,99038.8449000003
1981,3,32,1,30252.14922
1981,4,32,1,14487.04885
1982,1,32,1,21505.83798
1982,2,32,1,59046.4744299999
1982,3,32,1,72294.0709799998
1982,4,32,1,13468.83537
1983,1,32,1,27168.39032
1983,2,32,1,81152.72999
1983,3,32,1,39690.7157200001
1983,4,32,1,30935.42267
1984,1,32,1,39189.05456
1984,2,32,1,66498.7881800001
1984,3,32,1,61524.3008699999
1984,4,32,1,17847.6878
1985,1,32,1,19304.53868
1985,2,32,1,59696.3607499999
1985,3,32,1,35877.3675800001
1985,4,32,1,15148.61026
1986,1,32,1,39699.78102
1986,2,32,1,88974.6312499998
1986,3,32,1,105814.9411
1986,4,32,1,35235.0240300001
1987,1,32,1,30601.48268
1987,2,32,1,108313.5823
1987,3,32,1,86768.1286600003
1987,4,32,1,12876.25631
1988,1,32,1,112668.6648
1988,2,32,1,150976.7566
1988,3,32,1,74774.4666999999
1988,4,32,1,43606.65889
1989,1,32,1,31370.02693
1989,2,32,1,108798.5977
1989,3,32,1,47167.00552
1989,4,32,1,35124.8866
1990,1,32,1,45024.13584
1990,2,32,1,72212.1315399999
1990,3,32,1,92805.6036899996
1990,4,32,1,59816.1342299999
1991,1,32,1,50612.93871
1991,2,32,1,69617.2445099998
1991,3,32,1,72475.3204299998
1991,4,32,1,38306.57861
1992,1,32,1,31073.67857
1992,2,32,1,45777.0596799999
1992,3,32,1,100993.0069
1992,4,32,1,75166.88345
1993,1,32,1,36353.96415
1993,2,32,1,106018.837
1993,3,32,1,160674.3591
1993,4,32,1,49880.8241000001
1994,1,32,1,15552.05199
1994,2,32,1,66883.1625000001
1994,3,32,1,91461.5457699997
1994,4,32,1,33614.58444
1995,1,32,1,22842.75683
1995,2,32,1,83860.6688400001
1995,3,32,1,131140.0619
1995,4,32,1,49790.4059700001
1996,1,32,1,22483.90734
1996,2,32,1,66484.6959700002
1996,3,32,1,47752.18931
1996,4,32,1,27186.08324
1997,1,32,1,43249.5939
1997,2,32,1,63196.6855599999
1997,3,32,1,121214.9423
1997,4,32,1,27300.78762
1998,1,32,1,23584.29441
1998,2,32,1,148119.539
1998,3,32,1,58075.0057099999
1998,4,32,1,33438.09621
1999,1,32,1,20005.17769
1999,2,32,1,36645.35227
1999,3,32,1,48931.85262
1999,4,32,1,47803.1281599999
2000,1,32,1,48243.64691
2000,2,32,1,90388.3521999998
2000,3,32,1,131736.3373
2000,4,32,1,92250.585
2001,1,32,1,21298.20402
2001,2,32,1,62002.8639300001
2001,3,32,1,58031.0961500002
2001,4,32,1,51563.9412
2002,1,32,1,32306.38771
2002,2,32,1,39758.27732
2002,3,32,1,77486.0590499998
2002,4,32,1,26030.65755
2003,1,32,1,57870.3744899999
2003,2,32,1,70921.21243
2003,3,32,1,83730.0654199998
2003,4,32,1,16541.51801
2004,1,32,1,19727.72059
2004,2,32,1,69017.78813
2004,3,32,1,104923.6877
2004,4,32,1,53369.5622599999
2005,1,32,1,33568.26397
2005,2,32,1,50565.1309699999
2005,3,32,1,113937.9535
2005,4,32,1,39940.1714700001
2006,1,32,1,23209.4785
2006,2,32,1,78671.09595
2006,3,32,1,196622.7488
2006,4,32,1,19563.87637
2007,1,32,1,29597.9819
2007,2,32,1,39947.34287
2007,3,32,1,103910.695
2007,4,32,1,37139.73728
2008,1,32,1,12365.81444
2008,2,32,1,46629.4338500001
2008,3,32,1,61501.42139
2008,4,32,1,18733.72874
2009,1,32,1,16786.56453
2009,2,32,1,14907.70312
2009,3,32,1,31575.58408
2009,4,32,1,7907.97631500001
2010,1,32,1,5963.95097
2010,2,32,1,63678.27492
2010,3,32,1,91330.4645700003
2010,4,32,1,19531.82058
2011,1,32,1,18195.9916
2011,2,32,1,62878.1168399999
2011,3,32,1,56243.2663500001
2011,4,32,1,10195.856
2012,1,32,1,9812.10898199999
2012,2,32,1,43486.2529100001
2012,3,32,1,63390.6545000001
2012,4,32,1,47457.83346
2013,1,32,1,51792.8889600001
2013,2,32,1,91415.8872899999
2013,3,32,1,65593.91972
2013,4,32,1,15445.31029
2014,1,32,1,11584.01482
2014,2,32,1,34740.74675
2014,3,32,1,36908.21491
2014,4,32,1,14824.31863
2015,1,32,1,18392.29892
2015,2,32,1,58994.5999699999
2015,3,32,1,23720.45252
2015,4,32,1,12678.42102
2016,1,32,1,12146.37612
2016,2,32,1,79247.2192900002
2016,3,32,1,60719.1111200002
2016,4,32,1,29662.58444
2017,1,32,1,19339.61569
2017,2,32,1,38466.37317
2017,3,32,1,50837.7091800001
2017,4,32,1,13598.9862
2018,1,32,1,20350.10955
2018,2,32,1,126682.0667
2018,3,32,1,42548.27105
2018,4,32,1,25934.52836
2019,1,32,1,23746.877
2019,2,32,1,45110.3526999999
2019,3,32,1,89615.6840099997
2019,4,32,1,11097.56592
2020,1,32,1,6496.655922
2020,2,32,1,13409.0225
2020,3,32,1,47909.7122799999
2020,4,32,1,34541.94522
1972,1,33,2,1199832.937
1972,2,33,2,483350.828600001
1972,3,33,2,595329.370599999
1972,4,33,2,168598.4479
1973,1,33,2,1205956.01
1973,2,33,2,599035.0862
1973,3,33,2,731429.504800001
1973,4,33,2,599228.5821
1974,1,33,2,1814579.488
1974,2,33,2,569568.500099999
1974,3,33,2,509875.8092
1974,4,33,2,263500.0505
1975,1,33,2,876673.173400004
1975,2,33,2,312614.1901
1975,3,33,2,489267.3317
1975,4,33,2,160969.8935
1976,1,33,2,306505.1575
1976,2,33,2,397890.8783
1976,3,33,2,517394.7927
1976,4,33,2,227416.1739
1977,1,33,2,650838.310000001
1977,2,33,2,344486.6679
1977,3,33,2,328744.3001
1977,4,33,2,141797.4723
1978,1,33,2,1646912.28
1978,2,33,2,473346.851500001
1978,3,33,2,425256.7441
1978,4,33,2,150184.2699
1979,1,33,2,883548.2885
1979,2,33,2,336947.343700001
1979,3,33,2,429200.295900001
1979,4,33,2,202318.7772
1980,1,33,2,1217742.562
1980,2,33,2,503284.014600001
1980,3,33,2,541538.838899999
1980,4,33,2,209100.0448
1981,1,33,2,389751.1481
1981,2,33,2,403764.3831
1981,3,33,2,433890.6409
1981,4,33,2,151227.483
1982,1,33,2,621095.518100001
1982,2,33,2,335571.0059
1982,3,33,2,524119.451099999
1982,4,33,2,212255.8192
1983,1,33,2,1069838.765
1983,2,33,2,537564.619099999
1983,3,33,2,770565.1445
1983,4,33,2,247755.1197
1984,1,33,2,1343059.081
1984,2,33,2,495049.096800001
1984,3,33,2,917147.714499996
1984,4,33,2,272304.246
1985,1,33,2,886235.974199999
1985,2,33,2,373784.6894
1985,3,33,2,317856.6008
1985,4,33,2,154028.9834
1986,1,33,2,1837626.062
1986,2,33,2,696895.563600002
1986,3,33,2,1203175.557
1986,4,33,2,504659.418499999
1987,1,33,2,1989962.016
1987,2,33,2,512267.184600001
1987,3,33,2,787191.677099998
1987,4,33,2,266694.1002
1988,1,33,2,4198130.80800001
1988,2,33,2,1034984.272
1988,3,33,2,644355.505999999
1988,4,33,2,282913.5549
1989,1,33,2,735834.204299998
1989,2,33,2,528741.5997
1989,3,33,2,581281.140999999
1989,4,33,2,285633.03
1990,1,33,2,765187.127999998
1990,2,33,2,360740.0777
1990,3,33,2,735612.289
1990,4,33,2,226268.3128
1991,1,33,2,428340.499199999
1991,2,33,2,858400.080999997
1991,3,33,2,1161097.414
1991,4,33,2,398777.4491
1992,1,33,2,1609309.251
1992,2,33,2,614321.383700001
1992,3,33,2,1085928.065
1992,4,33,2,576898.472699999
1993,1,33,2,644282.490699999
1993,2,33,2,554375.138699999
1993,3,33,2,1516993.932
1993,4,33,2,420905.9525
1994,1,33,2,1311774.74
1994,2,33,2,508492.579699999
1994,3,33,2,521644.413599999
1994,4,33,2,388886.6925
1995,1,33,2,1770533.182
1995,2,33,2,744171.444899999
1995,3,33,2,964069.624300001
1995,4,33,2,423296.082499999
1996,1,33,2,340054.2056
1996,2,33,2,404942.2024
1996,3,33,2,354996.7038
1996,4,33,2,228210.8361
1997,1,33,2,868822.4947
1997,2,33,2,359842.051
1997,3,33,2,1001377.006
1997,4,33,2,289159.143
1998,1,33,2,1346687.087
1998,2,33,2,938916.558099998
1998,3,33,2,602338.401000001
1998,4,33,2,300584.4641
1999,1,33,2,1564614.098
1999,2,33,2,424554.9466
1999,3,33,2,1134010.59
1999,4,33,2,228902.8228
2000,1,33,2,928578.715599996
2000,2,33,2,336351.0167
2000,3,33,2,975239.342200001
2000,4,33,2,432680.1567
2001,1,33,2,1913438.073
2001,2,33,2,437855.946799999
2001,3,33,2,333764.0359
2001,4,33,2,276337.8928
2002,1,33,2,1797123.289
2002,2,33,2,280021.6717
2002,3,33,2,545530.789000001
2002,4,33,2,468914.190300001
2003,1,33,2,3038018.68
2003,2,33,2,648943.462500001
2003,3,33,2,478857.0472
2003,4,33,2,158345.8597
2004,1,33,2,270390.6641
2004,2,33,2,300293.9469
2004,3,33,2,559802.263199999
2004,4,33,2,329412.5153
2005,1,33,2,916901.225200004
2005,2,33,2,370965.768700001
2005,3,33,2,1103499.766
2005,4,33,2,337210.8011
2006,1,33,2,1743418.873
2006,2,33,2,510551.544500001
2006,3,33,2,789916.288400003
2006,4,33,2,245122.8375
2007,1,33,2,1171086.944
2007,2,33,2,307008.1604
2007,3,33,2,544171.700199999
2007,4,33,2,243145.7072
2008,1,33,2,606098.5647
2008,2,33,2,297351.1912
2008,3,33,2,519168.8464
2008,4,33,2,151871.6208
2009,1,33,2,221245.0124
2009,2,33,2,139342.3337
2009,3,33,2,238747.6988
2009,4,33,2,139936.1259
2010,1,33,2,240966.9995
2010,2,33,2,447339.9131
2010,3,33,2,959032.334499997
2010,4,33,2,223526.18
2011,1,33,2,232778.5575
2011,2,33,2,327844.190399999
2011,3,33,2,349348.2915
2011,4,33,2,83855.8747500001
2012,1,33,2,797389.192899999
2012,2,33,2,249431.2803
2012,3,33,2,731331.365199998
2012,4,33,2,184360.127
2013,1,33,2,1421796.614
2013,2,33,2,437123.8401
2013,3,33,2,483226.2665
2013,4,33,2,133841.932
2014,1,33,2,385937.015399999
2014,2,33,2,249235.4757
2014,3,33,2,209876.4805
2014,4,33,2,213440.9173
2015,1,33,2,216944.9659
2015,2,33,2,344761.775999999
2015,3,33,2,451312.9137
2015,4,33,2,203411.8295
2016,1,33,2,165670.2535
2016,2,33,2,276820.7439
2016,3,33,2,684543.9085
2016,4,33,2,171960.1549
2017,1,33,2,263789.0065
2017,2,33,2,270198.526
2017,3,33,2,460373.3174
2017,4,33,2,89861.4869900004
2018,1,33,2,853481.611400002
2018,2,33,2,550184.9742
2018,3,33,2,405214.2829
2018,4,33,2,212695.2949
2019,1,33,2,1149732.91
2019,2,33,2,542190.827899999
2019,3,33,2,1241964.763
2019,4,33,2,173673.1818
2020,1,33,2,1137870.576
2020,2,33,2,198208.9999
2020,3,33,2,313533.9729
2020,4,33,2,421219.7354
1972,1,34,3,113617.0922
1972,2,34,3,235947.3613
1972,3,34,3,283746.6747
1972,4,34,3,133495.6002
1973,1,34,3,87904.8882400001
1973,2,34,3,261761.1918
1973,3,34,3,361387.899800001
1973,4,34,3,175919.3415
1974,1,34,3,111922.3307
1974,2,34,3,272396.1269
1974,3,34,3,231672.9848
1974,4,34,3,147040.9464
1975,1,34,3,88941.8100299997
1975,2,34,3,279026.3817
1975,3,34,3,229857.187
1975,4,34,3,139205.122
1976,1,34,3,87131.2249200002
1976,2,34,3,303602.2185
1976,3,34,3,236280.1909
1976,4,34,3,172094.1236
1977,1,34,3,79692.0447200003
1977,2,34,3,275011.8977
1977,3,34,3,247052.3211
1977,4,34,3,143846.7068
1978,1,34,3,90290.2439900004
1978,2,34,3,352805.8707
1978,3,34,3,232711.9031
1978,4,34,3,74142.8085699999
1979,1,34,3,149164.3885
1979,2,34,3,223949.1683
1979,3,34,3,178783.3985
1979,4,34,3,121399.8999
1980,1,34,3,182652.5369
1980,2,34,3,300418.0646
1980,3,34,3,284800.1912
1980,4,34,3,112244.1579
1981,1,34,3,116248.8968
1981,2,34,3,298119.0576
1981,3,34,3,211660.1792
1981,4,34,3,122019.4869
1982,1,34,3,102122.2574
1982,2,34,3,252007.4405
1982,3,34,3,321567.0873
1982,4,34,3,172926.7083
1983,1,34,3,152326.344
1983,2,34,3,431562.415199999
1983,3,34,3,322419.3054
1983,4,34,3,226893.4381
1984,1,34,3,162250.646
1984,2,34,3,276856.5606
1984,3,34,3,380903.227
1984,4,34,3,141812.5798
1985,1,34,3,110617.7041
1985,2,34,3,268342.1374
1985,3,34,3,217945.3368
1985,4,34,3,124937.878
1986,1,34,3,138680.8346
1986,2,34,3,443373.9
1986,3,34,3,393724.5749
1986,4,34,3,188706.9837
1987,1,34,3,177424.0203
1987,2,34,3,398484.5282
1987,3,34,3,364490.267
1987,4,34,3,124986.0695
1988,1,34,3,226447.6545
1988,2,34,3,462538.422300001
1988,3,34,3,306637.8021
1988,4,34,3,182214.971
1989,1,34,3,176989.2663
1989,2,34,3,528252.335000001
1989,3,34,3,317680.3825
1989,4,34,3,171648.6009
1990,1,34,3,151213.6696
1990,2,34,3,326540.7075
1990,3,34,3,316003.7246
1990,4,34,3,114409.6157
1991,1,34,3,171101.4759
1991,2,34,3,418871.257300001
1991,3,34,3,548429.028500001
1991,4,34,3,164579.7008
1992,1,34,3,245787.2711
1992,2,34,3,413127.0065
1992,3,34,3,556382.808500001
1992,4,34,3,191505.6471
1993,1,34,3,203003.7397
1993,2,34,3,410597.9141
1993,3,34,3,606803.110199999
1993,4,34,3,157637.2289
1994,1,34,3,138509.0409
1994,2,34,3,318847.7234
1994,3,34,3,369814.2234
1994,4,34,3,219506.3033
1995,1,34,3,205305.1497
1995,2,34,3,291850.247
1995,3,34,3,626720.881900001
1995,4,34,3,194215.1246
1996,1,34,3,125070.9466
1996,2,34,3,380010.2856
1996,3,34,3,359751.6928
1996,4,34,3,151192.8373
1997,1,34,3,149631.2568
1997,2,34,3,229796.7193
1997,3,34,3,677423.664899998
1997,4,34,3,192860.7743
1998,1,34,3,129302.986
1998,2,34,3,434317.3969
1998,3,34,3,414160.6639
1998,4,34,3,133870.5032
1999,1,34,3,95246.9055299998
1999,2,34,3,234454.6969
1999,3,34,3,362450.959199999
1999,4,34,3,129888.0081
2000,1,34,3,127021.2622
2000,2,34,3,266631.4486
2000,3,34,3,679660.2703
2000,4,34,3,227591.5069
2001,1,34,3,103482.685
2001,2,34,3,304044.2571
2001,3,34,3,261289.0075
2001,4,34,3,172077.4058
2002,1,34,3,199378.8573
2002,2,34,3,253690.7441
2002,3,34,3,344122.425
2002,4,34,3,173918.8641
2003,1,34,3,360805.2801
2003,2,34,3,310729.1932
2003,3,34,3,343773.6108
2003,4,34,3,117290.2352
2004,1,34,3,151022.0709
2004,2,34,3,271767.6172
2004,3,34,3,379310.9681
2004,4,34,3,429316.400700001
2005,1,34,3,205885.9134
2005,2,34,3,296016.4909
2005,3,34,3,596214.080200001
2005,4,34,3,157508.4547
2006,1,34,3,187420.3227
2006,2,34,3,397271.2849
2006,3,34,3,520558.184
2006,4,34,3,181168.3778
2007,1,34,3,99868.2672699996
2007,2,34,3,262464.7429
2007,3,34,3,480739.221399999
2007,4,34,3,177612.9227
2008,1,34,3,118438.9237
2008,2,34,3,290261.3172
2008,3,34,3,339210.6369
2008,4,34,3,124505.0355
2009,1,34,3,125184.6351
2009,2,34,3,162885.5827
2009,3,34,3,230408.0047
2009,4,34,3,83359.1406300001
2010,1,34,3,69379.5136400001
2010,2,34,3,306972.6917
2010,3,34,3,534200.0625
2010,4,34,3,142661.5577
2011,1,34,3,128379.5042
2011,2,34,3,268858.0724
2011,3,34,3,312947.8547
2011,4,34,3,72193.5129600002
2012,1,34,3,70624.9708700002
2012,2,34,3,258004.2917
2012,3,34,3,442501.793799999
2012,4,34,3,197862.7862
2013,1,34,3,149431.4166
2013,2,34,3,379402.652599999
2013,3,34,3,323522.9546
2013,4,34,3,154909.8364
2014,1,34,3,106031.699
2014,2,34,3,249712.3915
2014,3,34,3,194033.1917
2014,4,34,3,205420.4792
2015,1,34,3,213206.0357
2015,2,34,3,232379.1684
2015,3,34,3,299599.1739
2015,4,34,3,172934.4067
2016,1,34,3,139247.2087
2016,2,34,3,147675.8653
2016,3,34,3,361290.6879
2016,4,34,3,141835.7731
2017,1,34,3,137113.6531
2017,2,34,3,244268.4602
2017,3,34,3,304491.2001
2017,4,34,3,100577.5615
2018,1,34,3,129399.2129
2018,2,34,3,429254.7117
2018,3,34,3,296315.6529
2018,4,34,3,208058.3336
2019,1,34,3,80714.4077200003
2019,2,34,3,214787.5748
2019,3,34,3,581313.3752
2019,4,34,3,55102.8280699999
2020,1,34,3,32029.48181
2020,2,34,3,179004.6649
2020,3,34,3,273627.6953
2020,4,34,3,212524.655
1972,1,35,4,971776.811299999
1972,2,35,4,1381492.265
1972,3,35,4,1236921.054
1972,4,35,4,530906.2474
1973,1,35,4,864669.9994
1973,2,35,4,1630137.47
1973,3,35,4,1740029.701
1973,4,35,4,1430367.34
1974,1,35,4,958025.611299999
1974,2,35,4,1629350.376
1974,3,35,4,1008837.171
1974,4,35,4,758266.288299998
1975,1,35,4,757550.553600001
1975,2,35,4,1128226.817
1975,3,35,4,1131243.34
1975,4,35,4,605171.525899999
1976,1,35,4,702955.1582
1976,2,35,4,1152951.357
1976,3,35,4,1064283.543
1976,4,35,4,720686.249499998
1977,1,35,4,894227.168999996
1977,2,35,4,1345994.325
1977,3,35,4,1249605.639
1977,4,35,4,656552.594699998
1978,1,35,4,792373.872199999
1978,2,35,4,1425148.923
1978,3,35,4,1043746.602
1978,4,35,4,521708.6248
1979,1,35,4,951577.7372
1979,2,35,4,1080261.795
1979,3,35,4,1033131.348
1979,4,35,4,767434.658100001
1980,1,35,4,566911.513300002
1980,2,35,4,1061681.917
1980,3,35,4,1161075.596
1980,4,35,4,784452.719600003
1981,1,35,4,600841.2165
1981,2,35,4,1135936.499
1981,3,35,4,1080889.512
1981,4,35,4,596358.834399998
1982,1,35,4,786964.648100002
1982,2,35,4,797641.894400003
1982,3,35,4,1010476.662
1982,4,35,4,727312.6952
1983,1,35,4,713744.760400001
1983,2,35,4,1673365.558
1983,3,35,4,1506742.239
1983,4,35,4,838571.289000003
1984,1,35,4,934092.253000002
1984,2,35,4,1418915.431
1984,3,35,4,1784333.477
1984,4,35,4,762219.705099997
1985,1,35,4,555070.028599999
1985,2,35,4,1449018.336
1985,3,35,4,1491945.263
1985,4,35,4,1083931.304
1986,1,35,4,978881.708999999
1986,2,35,4,1642423.59
1986,3,35,4,2103738.271
1986,4,35,4,1407928.539
